ingredient_a,ingredient_b,shared_taste,final_similarity,sense_similarity,nutr_similarity,cost_diff,protein_diff,kcal_diff
간장,된장,"짠맛, 감칠맛",0.9331,0.9923,0.8444,170.0,6.69,121.78
된장,간장,"짠맛, 감칠맛",0.9331,0.9923,0.8444,-170.0,-6.69,-121.78
들깨,참깨,고소함,0.9438,1.0,0.8595,900.0,20.95,509.0
참깨,들깨,고소함,0.9438,1.0,0.8595,-900.0,-20.95,-509.0
무,오이,"무맛, 신맛",0.9205,0.9394,0.8921,100.0,0.38,-8.0
오이,무,"무맛, 신맛",0.9205,0.9394,0.8921,-100.0,-0.38,8.0
잣,참깨,고소함,0.9558,0.9649,0.9423,-4700.0,8.79,-102.0
참깨,잣,고소함,0.9558,0.9649,0.9423,4700.0,-8.79,102.0
죽순,팽이버섯,무맛,0.9352,0.9067,0.978,-160.0,-0.42,-3.0
팽이버섯,죽순,무맛,0.9352,0.9067,0.978,160.0,0.42,3.0
청경채,팽이버섯,무맛,0.9399,0.9155,0.9766,-30.0,1.65,11.0
팽이버섯,청경채,무맛,0.9399,0.9155,0.9766,30.0,-1.65,-11.0
